,name
Оперативный дежурный Центра управления в кризисных ситуациях,8
Полицейский 2 Специального полка полиции ГУ МВД России по г. Москве,8
Специалист службы экономической безопасности,8
Специалист по экологической безопасности,8
Специалист по охране труда 1 категории,8
Полицейский отдельного взвода патрульно-постовой службы полиции ОМВД России по г. Когалыму,8
Начальник службы охраны,8
Вахтер,8
Сотрудник отдела безопасности,8
Водитель-инкассатор,8
Мойщик посуды (аэропорт Внуково),8
Дежурный пульта управления,8
Ведущий специалист по экономической безопасности,8
Младший судебный пристав по обеспечению установленного порядка деятельности судов,8
Инструктор-кинолог,8
Ведущий специалист выездного сбора,8
Полицейский (г. Москва) Специальный Батальон,8
Монтер ОПС,8
Специалист отдела безопасности,8
Полицейский водитель,7
Охранник в бизнес-центр,7
Охранник в гипермаркет,7
Охранник-водитель ГБР,7
Инструктор группы по работе с личным составом,7
Начальник группы перронного контроля и досмотра воздушных судов СТАБ,7
"Специалист по охране труда, промышленной и пожарной безопасности",7
Ведущий специалист по пожарной безопасности,7
Полицейский ФСВНГ,7
Специалист по предотвращению потерь,7
Дознаватель отдела дознания,7
"Специалист по охране труда, промышленной и экологической безопасности (строительство)",7
Охранник КПП,7
Начальник отдела безопасности,7
Полицейский (Полк полиции) г. Москва,7
Полицейский (водитель) роты полиции,7
Старший специалист судебного и исполнительного производства,7
Водитель - полицейский,7
Менеджер службы безопасности,7
Оперативный дежурный полиции,7
Главный специалист по охране труда и промышленной безопасности,7
"Контролер-охранник (Республика Алтай, с.Артыбаш)",7
Полицейский в специальный полк полиции,7
Охранник (в г. Норильск),7
Младший инспектор дежурной службы,7
Инженер отдела Промышленной безопасности и Производственного контроля,7
Ведущий специалист по неразрушающему контролю,7
Полицейский патрульно-постовой службы ОМВД России по Сургутскому району,6
Участковый уполномоченный полиции ОМВД России по Сургутскому району,6
Ведущий инженер по охране труда и промышленной безопасности,6
Следователь ОМВД России по Сургутскому району,6
Полицейский (Москва) Полк полиции,6
Ночной охранник,6
Сотрудник пропускного контроля (на склад),6
Ведущий специалист по охране труда и пожарной безопасности,6
Дежурный в офис,6
"Главный специалист по взысканию задолженности (досудебная просрочка, банк)",6
Старший смены охраны,6
Контролёр,6
Старший полицейский (группы задержания),6
Специалист по гражданской обороне,6
Главный специалист по ОТ и ПБ,6
Инженер ПЭБ и ОТ,6
Сотрудник службы безопасности (Специалист по предотвращению потерь),6
Полицейский (Красное село),6
Контролер контрольно-пропускного пункта/Охранник/Стрелок,6
Специалист по транспортной безопасности группы управления ТСОТБ,6
"Оперуполномоченный ОУР МО МВД России ""Торжокский""",6
Заместитель начальника службы безопасности,6
Дежурный,6
Дознаватель ОМВД России по Сургутскому району,6
Оперуполномоченный отдела уголовного розыска,6
Полицейский отдела охраны ЦСН ВО Росгвардии тер. Бор г. Домодедово,6
Оперуполномоченный отделения уголовного розыска,6
Охранник 4-6 разряд,6
Инженер по производственному контролю по охране труда и промышленной безопасности,6
Инженер по охране труда и промышленной безопасности (Чукотский АО),6
Сотрудник службы контроля / Охранник,6
Заместитель главного инженера,6
Контролер группы внутреннего контроля,6
"Полицейский Росгвардии, Москвы",6
Специалист по охране труда (РЦ Внуково),6
Инженер,6
Специалист по охране труда и производственной безопасности (Сахалин),6
Специалист по работе с проблемной задолженностью,6
Охранник (Волгоград),6
Охранник в г. Ростов-на-Дону,6
Охранник / Охранницы,6
Полицейский боец,6
Инженер по охране труда и экологии,6
Заместитель начальника пожарно-спасательного формирования (г.Сургут),6
Младший инспектор отдела охраны ФКУ ЛИУ-3 УФСИН России по Саратовской области,6
Менеджер службы контроля,6
Охранник в ресторан,6
"Главный специалист по ОТ, ПБ и ООС (Сахалин)",6
Инспектор транспортной безопасности,6
Начальник службы контроля,6
Младший инспектор отдела безопасности ФКУ ЛИУ-3 УФСИН России по Саратовской области,6
