,employer.name
Филиал по Добрянскому району ФКУ УИИ ГУФСИН России по Пермскому краю,1
ГУ МВД России по г. Санкт-Петербургу и Ленинградской области,1
Управление Росгвардии по Новосибирской области,1
Контрольно-пропускной пункт Ростов-на-Дону - морской порт,1
Алексей Купчинский,1
ФАУ «Единый институт пространственного планирования РФ»,1
ГКУ УМФЦ по КО,1
Шакурова Лилия,1
Пограничное управление ФСБ РФ по Омской области,1
ИК-5 ФКУ ГУФСИН России по Красноярскому краю,1
ГБУК г. Севастополя РИБС,1
Пункт отбора на военную службу по контракту по Омской области,1
Войсковая Часть 3287,1
ФГКУ Служба обеспечения Пограничной службы Федеральной службы безопасности РФ,1
ФКУ КП-13 УФСИН России по Омской области,1
Отдел МВД России по району Северное Бутово г. Москвы,1
